,xauth_0,xhub_0,auth_ranking,hub_ranking
34939,0.02567023534947086,0.0,154,42753
35844,0.0255782183342116,0.0,155,42752
25441,0.025287748605260226,0.0370630141678469,156,151
35574,0.025258752410044428,0.0,157,42751
35588,0.025018939761779924,0.0,158,42750
10185,0.024996595349679435,0.0072793289722046855,159,2337
35722,0.024935761278748768,0.0,160,42749
31287,0.02484484282720344,0.0,161,42748
35551,0.02481169917833092,0.0,162,42747
35316,0.024534058265862756,0.0068712849812415325,163,2488
25623,0.02452840840013584,0.04581302804854824,164,55
14752,0.02450473639872642,0.0,165,42746
25681,0.024243081035905386,0.013440970641482057,166,1079
46748,0.024210732143939605,0.006321889566072767,167,2731
36462,0.024130345114483507,0.02967473600916745,168,265
46657,0.023753170116423986,0.005149462107417357,169,3405
25876,0.023740169463994744,0.012148016291509271,170,1235
10333,0.023635625782094206,0.005113466133565144,171,3429
34867,0.023632053133251604,0.0027944060515767044,172,5630
24858,0.023465721264408105,0.0,173,42745
35660,0.023461816645615675,0.0,174,42744
24910,0.023324510147142152,0.007198401020873208,175,2368
74609,0.022983926290495244,0.0,176,42743
9406,0.022921957044182373,0.0011960160587526586,177,9270
43862,0.022899066446103625,0.0046569073740991085,178,3752
35132,0.022844770713230458,0.0,179,42742
35707,0.022603061213380272,0.0,180,42741
4243,0.02248820871080705,0.00021081009871027901,181,18427
25667,0.02248697035548047,0.049668247320369056,182,30
47212,0.02246968167411946,0.0,183,42769
25291,0.022407735963115284,0.0028436821853077745,184,5559
46964,0.022269895792067895,0.0,185,42755
35642,0.022266117656325836,0.0,186,42770
9723,0.022221701911675797,0.0,187,42787
35677,0.02211070966703596,0.0,188,42800
35434,0.022060730758134677,0.00905422753268203,189,1805
10574,0.02183816954493104,0.0008229712547363264,190,11337
47500,0.02178606973474216,0.05238140002525869,191,21
25926,0.02177146067503737,0.047023766970565116,192,44
17637,0.021757964455392853,0.0076804875845586,193,2186
22820,0.02175374751508037,0.0,194,42799
4249,0.021628034408717134,0.004381105531538108,195,3961
47339,0.02136055047235816,0.013030067642309032,196,1135
35558,0.021292553703503515,0.029953188433366987,197,259
46614,0.021272360667259783,0.0,198,42798
25546,0.021237556428333717,0.008917232476947947,199,1836
35664,0.021155105312443016,0.0,200,42797
14969,0.021103954520492407,0.003351196439831633,201,4922
10829,0.02106401103132105,0.0004771228898712417,202,14212
25094,0.02102174380455316,0.018385910012631682,203,707
13324,0.020987566875202174,0.0,204,42796
35970,0.020969902829220982,0.0,205,42795
24741,0.020967159591259683,0.0,206,42794
24414,0.020931188854573818,0.0,207,42793
10192,0.020849089953146414,0.006733387039548088,208,2553
35072,0.02077070006401757,0.0,209,42792
25718,0.0207267711735714,0.023459001229447312,210,460
25591,0.02071466113378996,0.023414286209040586,211,461
34519,0.020668410591011623,0.0,212,42791
36085,0.020489569388115747,0.0,213,42790
25044,0.020407205569175395,0.008134835084821093,214,2061
9212,0.020362142728370617,0.0,215,42789
35179,0.020245943886106555,0.001815135048680076,216,7417
25816,0.020232234122731178,0.03542973338447163,217,175
25289,0.0200935819560318,0.01364502217643519,218,1055
4771,0.02007074076384504,0.0017397383150743533,219,7601
25208,0.020031291452624098,0.021185045064347156,220,562
24925,0.02000861853275789,0.0,221,42788
34962,0.019982872045074672,0.0,222,42786
36229,0.019973871154782392,0.0,223,42772
24553,0.019964509117954422,0.0,224,42785
13340,0.019958894286656304,0.0,225,42784
35476,0.019912624405188716,0.0,226,42783
46743,0.019848187235538377,0.0,227,42782
35146,0.019830858670043146,0.00259066151477468,228,5922
26141,0.019719649457532424,0.04528338868876911,229,59
33320,0.019712200218008253,0.0,230,42781
36057,0.01968966704762847,0.0,231,42780
30096,0.0196250959023305,0.0,232,42779
32414,0.019615625096048944,0.0,233,42778
24824,0.01955857379540433,0.0,234,42777
47338,0.019511141309917716,0.0009041335857474063,235,10764
10233,0.01941134528610402,0.0023382374004237423,236,6380
25257,0.01933569565968098,0.01835583987287417,237,709
4477,0.01926899416600067,0.0063471075326982,238,2716
34269,0.019242779942792918,0.0,239,42776
74049,0.019139397596569397,0.0,240,42775
35811,0.019092192196385967,0.0,241,42774
16466,0.01898134577927047,0.0106404005729246,242,1480
21808,0.018857614833719758,2.715683901261058e-06,243,31239
23488,0.01883738471524743,0.0024608289907254717,244,6112
36173,0.01879367386492485,0.0,245,42773
24559,0.018782643304415963,0.0,246,42865
35955,0.018762165961602423,0.01266945531455937,247,1175
23308,0.018757821912989154,0.00010917095090922293,248,21738
25282,0.018721240763794444,0.02064812047826187,249,579
